Year,Site.ID,Annual,Perennial,Forest,Urban,Wetland,OpenWater
2008,CO01,0.27,0.16,0.32,0.24,0,0.01
2008,CO02,0.55,0.05,0.33,0.06,0.01,0
2008,CO03,0.61,0.05,0.19,0.08,0,0.06
2008,CO04,0.55,0.07,0.21,0.07,0.1,0
2008,CO05,0.73,0.22,0.01,0.02,0.02,0
2008,CO06,0.35,0.15,0.27,0.23,0,0
2008,CO07,0.61,0.22,0.11,0.06,0,0
2008,CO08,0.55,0.03,0.31,0.11,0,0
2008,CO09,0.6,0.28,0.09,0.04,0,0
2008,CO10,0.7,0.15,0.9,0.03,0.03,0
2008,PR01,0.19,0.26,0.23,0.3,0.01,0.02
2008,PR02,0.6,0.03,0.15,0.03,0.19,0.01
2008,PR03,0.17,0.16,0.64,0.02,0,0
2008,PR04,0.68,0.18,0.1,0.05,0,0
2008,PR05,0.11,0.19,0.59,0.1,0,0
2008,PR06,0.02,0.16,0.75,0.04,0,0.02
2008,PR07,0.51,0.17,0.22,0.1,0.01,0
2008,PR08,0.02,0.49,0.41,0.02,0.05,0.02
2008,PR09,0.27,0.17,0.48,0.05,0.02,0.01
2008,PR10,0.1,0.16,0.59,0.12,0.03,0.01
2008,SW01,0.42,0.31,0.25,0.02,0,0
2008,SW02,0.08,0.04,0.74,0.08,0,0.07
2008,SW03,0.51,0.41,0.06,0.02,0,0
2008,SW04,0.71,0.06,0.09,0.02,0.08,0.04
2008,SW05,0.39,0.21,0.18,0.12,0.04,0.05
2008,SW06,0.52,0.26,0.13,0.09,0,0
2008,SW07,0.08,0.06,0.27,0.55,0.02,0.02
2008,SW08,0.4,0.05,0.13,0.21,0,0.2
2008,SW09,0.18,0.21,0.51,0,0.1,0
2008,SW10,0.49,0.22,0.25,0.04,0,0
2009,AgrecolMadison,0.09,0.21,0.13,0.47,0.09,0
2009,AgrecolStoughton,0.58,0.28,0.05,0.07,0.02,0
2009,Arboretum,0,0.07,0.27,0.58,0.01,0.07
2009,ArlingtonCorn,0.61,0.25,0.02,0.1,0.01,0.01
2009,ArlingtonSwitch,0.64,0.25,0.01,0.08,0.01,0
2009,Bard,0.06,0.38,0.49,0.06,0,0
2009,Baye,0.04,0.34,0.56,0.06,0.01,0
2009,CO11,0.48,0.14,0.3,0.07,0,0
2009,CO12,0.03,0.02,0.15,0.8,0,0
2009,CO13,0.71,0.13,0.08,0.07,0,0.01
2009,CO16,0.68,0.1,0.15,0.07,0,0
2009,CO18,0.07,0.11,0.75,0.06,0,0.01
2009,CO19,0.04,0.05,0.8,0.06,0,0.04
2009,CO20,0.44,0.13,0.37,0.06,0,0
2009,CO03,0.61,0.07,0.14,0.09,0,0.08
2009,CO04,0.5,0.16,0.24,0.06,0,0.04
2009,CO05,0.85,0.07,0.02,0.06,0,0
2009,Emerson,0.09,0.21,0.65,0.05,0,0
2009,Faville,0.48,0.22,0.13,0.05,0.09,0.02
2009,Goth,0.12,0.29,0.48,0.07,0.04,0
2009,Heintz,0.21,0.28,0.39,0.1,0.01,0
2009,HolyWisdom,0.14,0.14,0.18,0.15,0.03,0.36
2009,KettleEagle,0.17,0.39,0.32,0.1,0.02,0
2009,KettleYoung,0.07,0.17,0.63,0.07,0.01,0.05
2009,Kleiber,0.66,0.21,0.03,0.09,0.01,0
2009,Kronberg,0.78,0.08,0.05,0.07,0.02,0
2009,Ladd,0.35,0.53,0.04,0.08,0,0
2009,LeopoldCassell,0.15,0.18,0.49,0.05,0.01,0.1
2009,Marr,0.21,0.62,0.12,0.05,0,0
2009,Padley,0.37,0.14,0.2,0.08,0.01,0.19
2009,Paulson,0.26,0.43,0.22,0.04,0.05,0
2009,PR10,0.22,0.1,0.38,0.28,0,0.02
2009,PR11,0.4,0.23,0.28,0.09,0,0
2009,PR12,0.09,0.19,0.52,0.12,0.01,0.07
2009,PR02,0.56,0.12,0.21,0.1,0,0.01
2009,PR03,0.22,0.09,0.63,0.05,0,0
2009,PR04,0.7,0.14,0.07,0.08,0,0
2009,PR06,0.04,0.26,0.63,0.06,0,0.01
2009,PR07,0.6,0.15,0.17,0.08,0,0
2009,PR08,0.06,0.17,0.66,0.09,0.01,0.03
2009,PR09,0.42,0.17,0.33,0.07,0.01,0.01
2009,Priske,0.65,0.16,0.02,0.08,0.09,0
2009,RiverlandMerrimac,0.27,0.25,0.34,0.06,0.07,0.01
2009,RockyRun,0.17,0.28,0.42,0.06,0.07,0
2009,Schaller,0.31,0.53,0.08,0.07,0,0
2009,Schroeder,0.6,0.24,0,0.09,0.01,0.06
2009,Sprecher,0.68,0.14,0.07,0.1,0,0
2009,SW01,0.52,0.22,0.17,0.08,0,0
2009,SW10,0.55,0.21,0.19,0.05,0,0
2009,SW11,0.31,0.24,0.38,0.07,0,0
2009,SW12,0.18,0.24,0.44,0.14,0,0
2009,SW13,0.74,0.07,0.11,0.08,0,0
2009,SW14,0.2,0.41,0.19,0.14,0,0.06
2009,SW02,0.07,0.08,0.71,0.09,0,0.05
2009,SW07,0.14,0.07,0.15,0.64,0,0.01
2009,SW08,0.42,0.05,0.09,0.21,0,0.23
2009,SW09,0.27,0.13,0.47,0.05,0.03,0.06
2009,TaylorCreek,0.42,0.49,0.03,0.06,0,0
2009,Thomson,0.23,0.61,0.09,0.07,0,0
2009,WestMadison,0.19,0.29,0.03,0.48,0,0
